Pclass,Age,Fare,title_Miss,title_Mr,title_Mrs,title_Other,Sex_male,Embarked_Q,Embarked_S,Family,Alone
3,35.0,7.8958,0,1,0,0,1,0,1,0,1
3,25.0,7.65,0,1,0,0,1,0,1,0,1
3,30.272590361445783,16.1,0,1,0,0,1,0,1,1,0
1,36.0,262.375,1,0,0,0,0,0,0,0,1
3,17.0,7.8958,0,1,0,0,1,0,1,0,1
2,32.0,13.5,0,1,0,0,1,0,1,0,1
3,18.0,7.75,0,1,0,0,1,0,1,0,1
3,22.0,7.725,1,0,0,0,0,1,0,0,1
1,13.0,262.375,0,0,0,0,1,0,0,4,0
2,30.272590361445783,21.0,0,0,1,0,0,0,1,0,1
3,18.0,7.8792,1,0,0,0,0,1,0,0,1
1,47.0,42.4,0,1,0,0,1,0,1,0,1
1,31.0,28.5375,0,1,0,0,1,0,0,0,1
1,60.0,263.0,0,0,1,0,0,0,1,5,0
3,24.0,7.75,1,0,0,0,0,1,0,0,1
3,21.0,7.8958,0,1,0,0,1,0,1,0,1
3,29.0,7.925,1,0,0,0,0,0,1,0,1
1,28.5,27.7208,0,1,0,0,1,0,0,0,1
1,35.0,211.5,1,0,0,0,0,0,0,0,1
1,32.5,211.5,0,1,0,0,1,0,0,0,1
3,30.272590361445783,8.05,0,1,0,0,1,0,1,0,1
1,55.0,25.7,0,0,1,0,0,0,1,2,0
2,30.0,13.0,0,1,0,0,1,0,1,0,1
3,24.0,7.75,1,0,0,0,0,1,0,0,1
3,6.0,15.2458,0,0,0,0,1,0,0,2,0
1,67.0,221.7792,0,1,0,0,1,0,1,1,0
1,49.0,26.0,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.8958,0,1,0,0,1,0,1,0,1
2,30.272590361445783,10.7083,0,1,0,0,1,1,0,0,1
3,30.272590361445783,14.4542,0,1,0,0,1,0,0,1,0
3,27.0,7.8792,1,0,0,0,0,1,0,0,1
3,18.0,8.05,1,0,0,0,0,0,1,0,1
3,30.272590361445783,7.75,1,0,0,0,0,1,0,0,1
2,2.0,23.0,0,0,0,0,1,0,1,2,0
3,22.0,13.9,0,0,1,0,0,0,1,1,0
3,30.272590361445783,7.775,0,1,0,0,1,0,1,0,1
1,27.0,52.0,0,0,1,0,0,0,1,3,0
3,30.272590361445783,8.05,0,1,0,0,1,0,1,0,1
1,25.0,26.0,0,1,0,0,1,0,0,0,1
3,25.0,7.7958,0,1,0,0,1,0,1,0,1
1,76.0,78.85,0,0,1,0,0,0,1,1,0
3,29.0,7.925,0,1,0,0,1,0,1,0,1
3,20.0,7.8542,1,0,0,0,0,0,1,0,1
3,33.0,8.05,0,1,0,0,1,0,1,0,1
1,43.0,55.4417,0,0,1,0,0,0,0,1,0
2,27.0,26.0,0,1,0,0,1,0,1,1,0
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
3,26.0,7.775,0,1,0,0,1,0,1,0,1
3,16.0,8.5167,0,0,1,0,0,0,0,2,0
3,28.0,22.525,0,1,0,0,1,0,1,0,1
3,21.0,7.8208,0,1,0,0,1,1,0,0,1
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
3,30.272590361445783,8.7125,0,1,0,0,1,0,1,0,1
2,18.5,13.0,0,1,0,0,1,0,1,0,1
2,41.0,15.0458,0,1,0,0,1,0,0,0,1
3,30.272590361445783,7.7792,1,0,0,0,0,1,0,0,1
1,36.0,31.6792,1,0,0,0,0,0,0,0,1
3,18.5,7.2833,1,0,0,0,0,1,0,0,1
1,63.0,221.7792,0,0,1,0,0,0,1,1,0
3,18.0,14.4542,0,1,0,0,1,0,0,1,0
3,30.272590361445783,6.4375,0,1,0,0,1,0,0,0,1
3,1.0,16.7,1,0,0,0,0,0,1,2,0
1,36.0,75.2417,0,1,0,0,1,0,0,0,1
2,29.0,26.0,0,0,1,0,0,0,1,1,0
2,12.0,15.75,1,0,0,0,0,0,1,0,1
3,30.272590361445783,7.75,0,1,0,0,1,1,0,1,0
1,35.0,57.75,0,0,1,0,0,0,0,1,0
3,28.0,7.25,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
3,17.0,16.1,1,0,0,0,0,0,1,1,0
3,22.0,7.7958,0,1,0,0,1,0,1,0,1
3,30.272590361445783,23.25,1,0,0,0,0,1,0,2,0
2,42.0,13.0,0,1,0,0,1,0,1,0,1
3,24.0,8.05,0,1,0,0,1,0,1,0,1
3,32.0,8.05,0,1,0,0,1,0,1,0,1
1,53.0,28.5,0,0,0,1,1,0,0,0,1
3,30.272590361445783,25.4667,0,0,1,0,0,0,1,4,0
3,30.272590361445783,6.4375,0,1,0,0,1,0,0,1,0
3,43.0,7.8958,0,1,0,0,1,0,1,0,1
3,24.0,7.8542,0,1,0,0,1,0,1,0,1
3,26.5,7.225,0,1,0,0,1,0,0,0,1
2,26.0,13.0,0,1,0,0,1,0,1,0,1
3,23.0,8.05,1,0,0,0,0,0,1,0,1
3,40.0,46.9,0,1,0,0,1,0,1,7,0
3,10.0,46.9,1,0,0,0,0,0,1,7,0
1,33.0,151.55,1,0,0,0,0,0,1,0,1
1,61.0,262.375,0,1,0,0,1,0,0,4,0
2,28.0,26.0,0,1,0,0,1,0,1,0,1
1,42.0,26.55,0,1,0,0,1,0,1,0,1
3,31.0,18.0,0,1,0,0,1,0,1,3,0
1,30.272590361445783,51.8625,0,1,0,0,1,0,1,0,1
3,22.0,8.05,0,1,0,0,1,0,1,0,1
1,30.272590361445783,26.55,0,1,0,0,1,0,1,0,1
2,30.0,26.0,0,0,0,1,1,0,1,2,0
1,23.0,83.1583,0,0,1,0,0,0,0,1,0
3,30.272590361445783,7.8958,0,1,0,0,1,0,0,0,1
3,60.5,35.6271884892086,0,1,0,0,1,0,1,0,1
3,36.0,12.1833,0,0,1,0,0,0,1,2,0
3,13.0,31.3875,0,0,0,0,1,0,1,6,0
3,24.0,7.55,0,1,0,0,1,0,1,0,1
1,29.0,221.7792,1,0,0,0,0,0,1,0,1
3,23.0,7.8542,1,0,0,0,0,0,1,0,1
1,42.0,26.55,0,1,0,0,1,0,1,0,1
3,26.0,13.775,0,0,1,0,0,0,1,2,0
3,30.272590361445783,7.7333,1,0,0,0,0,1,0,0,1
3,7.0,15.2458,0,0,0,0,1,0,0,2,0
2,26.0,13.5,1,0,0,0,0,0,1,0,1
3,30.272590361445783,7.0,0,1,0,0,1,0,1,0,1
2,41.0,13.0,0,0,0,1,1,0,1,0,1
3,26.0,22.025,0,0,1,0,0,0,1,2,0
1,48.0,50.4958,0,1,0,0,1,0,0,0,1
3,18.0,34.375,0,1,0,0,1,0,1,4,0
1,30.272590361445783,27.7208,0,0,1,0,0,0,0,0,1
3,22.0,8.9625,1,0,0,0,0,0,1,0,1
3,30.272590361445783,7.55,0,1,0,0,1,0,1,0,1
3,27.0,7.225,0,1,0,0,1,0,0,0,1
3,23.0,13.9,0,1,0,0,1,0,1,1,0
3,30.272590361445783,7.2292,0,1,0,0,1,0,0,0,1
3,40.0,31.3875,0,1,0,0,1,0,1,6,0
2,15.0,39.0,1,0,0,0,0,0,1,2,0
2,20.0,36.75,1,0,0,0,0,0,1,0,1
1,54.0,55.4417,0,1,0,0,1,0,0,1,0
2,36.0,39.0,0,0,1,0,0,0,1,3,0
1,64.0,83.1583,0,0,1,0,0,0,0,2,0
2,30.0,13.0,0,1,0,0,1,0,1,0,1
1,37.0,83.1583,0,1,0,0,1,0,0,2,0
1,18.0,53.1,0,0,1,0,0,0,1,1,0
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
1,27.0,247.5208,0,0,1,0,0,0,0,2,0
2,40.0,16.0,0,1,0,0,1,0,1,0,1
2,21.0,21.0,1,0,0,0,0,0,1,1,0
3,17.0,8.05,0,1,0,0,1,0,1,2,0
3,30.272590361445783,69.55,1,0,0,0,0,0,1,10,0
2,40.0,13.0,0,1,0,0,1,0,1,0,1
2,34.0,26.0,0,1,0,0,1,0,1,1,0
1,30.272590361445783,26.0,0,1,0,0,1,0,1,0,1
3,11.5,14.5,0,0,0,0,1,0,1,2,0
2,61.0,12.35,0,1,0,0,1,1,0,0,1
2,8.0,32.5,0,0,0,0,1,0,1,2,0
3,33.0,7.8542,0,1,0,0,1,0,1,0,1
1,6.0,134.5,0,0,0,0,1,0,0,2,0
3,18.0,7.775,1,0,0,0,0,0,1,0,1
2,23.0,10.5,0,1,0,0,1,0,1,0,1
3,30.272590361445783,8.1125,0,0,1,0,0,0,1,0,1
3,30.272590361445783,15.5,1,0,0,0,0,1,0,0,1
3,0.33,14.4,0,0,0,0,1,0,1,2,0
1,47.0,227.525,0,0,0,1,1,0,0,1,0
2,8.0,26.0,1,0,0,0,0,0,1,2,0
2,25.0,10.5,0,1,0,0,1,0,1,0,1
1,30.272590361445783,25.7417,0,1,0,0,1,0,0,0,1
3,35.0,7.75,1,0,0,0,0,1,0,0,1
2,24.0,10.5,0,1,0,0,1,0,1,0,1
1,33.0,27.7208,1,0,0,0,0,0,0,0,1
3,25.0,7.8958,0,1,0,0,1,0,1,0,1
3,32.0,22.525,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.05,0,1,0,0,1,0,1,0,1
2,17.0,73.5,0,1,0,0,1,0,1,0,1
2,60.0,26.0,0,0,1,0,0,0,1,1,0
3,38.0,7.775,1,0,0,0,0,0,1,6,0
1,42.0,42.5,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.8792,1,0,0,0,0,1,0,0,1
1,57.0,164.8667,0,1,0,0,1,0,1,2,0
1,50.0,211.5,0,0,1,0,0,0,0,2,0
3,30.272590361445783,8.05,0,1,0,0,1,0,1,0,1
2,30.0,13.8583,1,0,0,0,0,0,0,1,0
3,21.0,8.05,0,1,0,0,1,0,1,0,1
2,22.0,10.5,0,0,1,0,0,0,1,0,1
3,21.0,7.7958,0,1,0,0,1,0,1,0,1
1,53.0,27.4458,0,0,1,0,0,0,0,0,1
3,30.272590361445783,15.2458,0,0,1,0,0,0,0,2,0
3,23.0,7.7958,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.75,1,0,0,0,0,1,0,0,1
3,40.5,15.1,0,1,0,0,1,0,1,0,1
2,36.0,13.0,0,1,0,0,1,0,1,0,1
2,14.0,65.0,0,1,0,0,1,0,1,0,1
1,21.0,26.55,1,0,0,0,0,0,1,0,1
3,21.0,6.4958,0,1,0,0,1,0,1,1,0
3,30.272590361445783,7.8792,0,1,0,0,1,1,0,0,1
1,39.0,71.2833,0,1,0,0,1,0,0,1,0
3,20.0,7.8542,0,1,0,0,1,0,1,0,1
1,64.0,75.25,0,1,0,0,1,0,0,1,0
3,20.0,7.225,0,1,0,0,1,0,0,0,1
2,18.0,13.0,1,0,0,0,0,0,1,2,0
1,48.0,106.425,0,0,1,0,0,0,0,1,0
1,55.0,27.7208,0,0,1,0,0,0,0,0,1
2,45.0,30.0,0,0,1,0,0,0,1,2,0
1,45.0,134.5,0,1,0,0,1,0,0,2,0
3,30.272590361445783,7.8875,0,1,0,0,1,0,1,0,1
3,30.272590361445783,23.45,0,0,0,0,1,0,1,3,0
1,41.0,51.8625,0,1,0,0,1,0,1,1,0
2,22.0,21.0,0,0,1,0,0,0,1,0,1
2,42.0,32.5,0,1,0,0,1,0,1,2,0
2,29.0,26.0,0,0,1,0,0,0,1,1,0
3,30.272590361445783,14.4542,0,0,1,0,0,0,0,1,0
2,0.92,27.75,1,0,0,0,0,0,1,3,0
3,20.0,7.925,0,1,0,0,1,0,1,0,1
1,27.0,136.7792,0,1,0,0,1,0,0,1,0
3,24.0,9.325,0,1,0,0,1,0,1,0,1
3,32.5,9.5,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.55,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
3,28.0,8.05,0,1,0,0,1,0,1,0,1
2,19.0,13.0,1,0,0,0,0,0,1,0,1
3,21.0,7.775,0,1,0,0,1,0,1,0,1
3,36.5,17.4,0,1,0,0,1,0,1,1,0
3,21.0,7.8542,0,1,0,0,1,0,1,0,1
2,29.0,23.0,0,0,1,0,0,0,1,2,0
3,1.0,12.1833,1,0,0,0,0,0,1,2,0
2,30.0,12.7375,0,1,0,0,1,0,0,0,1
3,30.272590361445783,7.8958,0,1,0,0,1,0,1,0,1
1,30.272590361445783,0.0,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.55,0,1,0,0,1,0,1,0,1
3,30.272590361445783,8.05,1,0,0,0,0,0,1,0,1
3,17.0,8.6625,0,1,0,0,1,0,1,0,1
1,46.0,75.2417,0,1,0,0,1,0,0,0,1
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
1,26.0,136.7792,0,0,1,0,0,0,0,1,0
3,30.272590361445783,15.5,1,0,0,0,0,1,0,1,0
3,30.272590361445783,7.225,0,1,0,0,1,0,0,0,1
2,20.0,26.0,1,0,0,0,0,0,1,1,0
2,28.0,10.5,0,1,0,0,1,0,1,0,1
2,40.0,26.0,0,1,0,0,1,0,1,1,0
2,30.0,21.0,0,1,0,0,1,0,1,1,0
2,22.0,10.5,0,1,0,0,1,0,1,0,1
3,23.0,8.6625,1,0,0,0,0,0,1,0,1
3,0.75,13.775,0,0,0,0,1,0,1,2,0
3,30.272590361445783,7.75,1,0,0,0,0,1,0,0,1
3,9.0,15.2458,1,0,0,0,0,0,0,2,0
3,2.0,20.2125,1,0,0,0,0,0,1,2,0
3,36.0,7.25,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.25,0,1,0,0,1,0,1,0,1
1,24.0,82.2667,0,1,0,0,1,0,1,1,0
3,30.272590361445783,7.2292,0,1,0,0,1,0,0,0,1
3,30.272590361445783,8.05,0,1,0,0,1,0,1,0,1
1,30.272590361445783,39.6,0,1,0,0,1,0,1,0,1
3,30.0,6.95,1,0,0,0,0,1,0,0,1
3,30.272590361445783,7.2292,0,1,0,0,1,0,0,0,1
1,53.0,81.8583,0,1,0,0,1,0,1,2,0
3,36.0,9.5,0,1,0,0,1,0,1,0,1
3,26.0,7.8958,0,1,0,0,1,0,1,0,1
2,1.0,41.5792,1,0,0,0,0,0,0,3,0
3,30.272590361445783,21.6792,0,1,0,0,1,0,0,2,0
1,30.0,45.5,0,1,0,0,1,0,1,0,1
3,29.0,7.8542,0,1,0,0,1,0,1,0,1
3,32.0,7.775,0,1,0,0,1,0,1,0,1
2,30.272590361445783,15.0458,0,1,0,0,1,0,0,0,1
2,43.0,21.0,0,1,0,0,1,0,1,1,0
3,24.0,8.6625,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.75,1,0,0,0,0,1,0,0,1
1,64.0,26.55,0,0,1,0,0,0,1,2,0
1,30.0,151.55,0,1,0,0,1,0,1,3,0
3,0.83,9.35,0,0,0,0,1,0,1,1,0
1,55.0,93.5,0,1,0,0,1,0,1,2,0
3,45.0,14.1083,0,0,1,0,0,0,1,1,0
3,18.0,8.6625,0,1,0,0,1,0,1,0,1
3,22.0,7.225,0,1,0,0,1,0,0,0,1
3,30.272590361445783,7.575,0,1,0,0,1,0,1,0,1
3,37.0,7.75,1,0,0,0,0,1,0,0,1
1,55.0,135.6333,0,0,1,0,0,0,0,0,1
3,17.0,7.7333,1,0,0,0,0,1,0,0,1
1,57.0,146.5208,0,1,0,0,1,0,0,1,0
2,19.0,10.5,0,1,0,0,1,0,1,0,1
3,27.0,7.8542,0,1,0,0,1,0,1,0,1
2,22.0,31.5,0,1,0,0,1,0,1,2,0
3,26.0,7.775,0,1,0,0,1,0,1,0,1
3,25.0,7.2292,0,1,0,0,1,0,0,0,1
2,26.0,13.0,0,1,0,0,1,0,1,0,1
1,33.0,26.55,0,1,0,0,1,0,1,0,1
1,39.0,211.3375,1,0,0,0,0,0,1,0,1
3,23.0,7.05,0,1,0,0,1,0,1,0,1
2,12.0,39.0,1,0,0,0,0,0,1,3,0
1,46.0,79.2,0,1,0,0,1,0,0,0,1
2,29.0,26.0,0,1,0,0,1,0,1,1,0
2,21.0,13.0,0,1,0,0,1,0,1,0,1
2,48.0,36.75,0,0,1,0,0,0,1,2,0
1,39.0,29.7,0,1,0,0,1,0,0,0,1
3,30.272590361445783,7.225,0,1,0,0,1,0,0,0,1
3,19.0,15.7417,0,0,1,0,0,0,0,2,0
3,27.0,7.8958,0,1,0,0,1,0,1,0,1
1,30.0,26.0,0,1,0,0,1,0,1,0,1
2,32.0,13.0,0,1,0,0,1,0,1,0,1
3,39.0,7.2292,0,1,0,0,1,0,0,2,0
2,25.0,31.5,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.2292,0,0,0,0,1,0,0,0,1
2,18.0,10.5,0,1,0,0,1,0,1,0,1
3,32.0,7.5792,0,1,0,0,1,0,1,0,1
3,30.272590361445783,69.55,0,1,0,0,1,0,1,10,0
1,58.0,512.3292,0,0,1,0,0,0,0,1,0
3,30.272590361445783,14.5,0,0,0,0,1,0,1,2,0
3,16.0,7.65,1,0,0,0,0,0,1,0,1
2,26.0,13.0,0,1,0,0,1,0,1,0,1
3,38.0,7.2292,0,0,1,0,0,0,0,0,1
2,24.0,13.5,0,1,0,0,1,0,1,0,1
2,31.0,21.0,1,0,0,0,0,0,1,0,1
1,45.0,63.3583,0,0,1,0,0,0,0,1,0
2,25.0,10.5,0,1,0,0,1,0,1,0,1
2,18.0,73.5,0,1,0,0,1,0,1,0,1
2,49.0,65.0,0,1,0,0,1,0,1,3,0
3,0.17,20.575,1,0,0,0,0,0,1,3,0
1,50.0,26.0,0,1,0,0,1,0,1,0,1
1,59.0,51.4792,0,0,1,0,0,0,1,2,0
3,30.272590361445783,7.8792,0,1,0,0,1,0,1,0,1
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
3,30.0,15.55,0,0,1,0,0,0,1,1,0
3,14.5,69.55,0,0,0,0,1,0,1,10,0
2,24.0,37.0042,0,0,1,0,0,0,0,2,0
2,31.0,21.0,0,0,1,0,0,0,1,0,1
3,27.0,8.6625,0,1,0,0,1,0,1,0,1
1,25.0,55.4417,0,0,1,0,0,0,0,1,0
3,30.272590361445783,69.55,0,0,1,0,0,0,1,10,0
3,30.272590361445783,14.4583,0,1,0,0,1,0,0,1,0
3,22.0,39.6875,1,0,0,0,0,0,1,0,1
1,45.0,59.4,0,0,1,0,0,0,0,1,0
2,29.0,13.8583,0,1,0,0,1,0,0,0,1
2,21.0,11.5,0,1,0,0,1,0,1,1,0
1,31.0,134.5,1,0,0,0,0,0,0,0,1
1,49.0,0.0,0,1,0,0,1,0,1,0,1
2,44.0,13.0,0,1,0,0,1,0,1,0,1
1,54.0,81.8583,0,0,1,0,0,0,1,2,0
1,45.0,262.375,1,0,0,0,0,0,0,0,1
3,22.0,8.6625,1,0,0,0,0,0,1,2,0
2,21.0,11.5,0,1,0,0,1,0,1,0,1
1,55.0,50.0,0,1,0,0,1,0,1,0,1
3,5.0,31.3875,0,0,0,0,1,0,1,6,0
3,30.272590361445783,7.75,0,1,0,0,1,1,0,0,1
3,26.0,7.8792,0,1,0,0,1,1,0,0,1
3,30.272590361445783,14.5,0,0,1,0,0,0,1,0,1
3,19.0,16.1,0,0,1,0,0,0,1,1,0
2,30.272590361445783,12.875,0,1,0,0,1,0,1,0,1
2,24.0,65.0,1,0,0,0,0,0,1,3,0
3,24.0,7.775,0,1,0,0,1,0,1,0,1
2,57.0,13.0,0,1,0,0,1,0,1,0,1
3,21.0,7.75,0,1,0,0,1,1,0,0,1
3,6.0,21.075,0,0,0,0,1,0,1,4,0
1,23.0,93.5,0,1,0,0,1,0,1,0,1
1,51.0,39.4,0,0,1,0,0,0,1,1,0
3,13.0,20.25,0,0,0,0,1,0,1,2,0
2,47.0,10.5,0,1,0,0,1,0,1,0,1
3,29.0,22.025,0,1,0,0,1,0,1,4,0
1,18.0,60.0,0,0,1,0,0,0,1,1,0
3,24.0,7.25,0,1,0,0,1,1,0,0,1
1,48.0,79.2,0,0,1,0,0,0,0,2,0
3,22.0,7.775,0,1,0,0,1,0,1,0,1
3,31.0,7.7333,0,1,0,0,1,1,0,0,1
1,30.0,164.8667,1,0,0,0,0,0,1,0,1
2,38.0,21.0,0,1,0,0,1,0,1,1,0
1,22.0,59.4,1,0,0,0,0,0,0,1,0
1,17.0,47.1,0,1,0,0,1,0,1,0,1
1,43.0,27.7208,0,1,0,0,1,0,0,1,0
2,20.0,13.8625,0,1,0,0,1,0,0,0,1
2,23.0,10.5,0,1,0,0,1,0,1,1,0
1,50.0,211.5,0,1,0,0,1,0,0,2,0
3,30.272590361445783,7.7208,1,0,0,0,0,1,0,0,1
3,3.0,13.775,1,0,0,0,0,0,1,2,0
3,30.272590361445783,7.75,1,0,0,0,0,1,0,0,1
1,37.0,90.0,0,0,1,0,0,1,0,1,0
3,28.0,7.775,1,0,0,0,0,0,1,0,1
3,30.272590361445783,8.05,0,1,0,0,1,0,1,0,1
1,39.0,108.9,1,0,0,0,0,0,0,0,1
3,38.5,7.25,0,1,0,0,1,0,1,0,1
3,30.272590361445783,8.05,0,1,0,0,1,0,1,0,1
3,30.272590361445783,22.3583,0,0,0,0,1,0,0,2,0
